6 2 3 abcdem
6 2 3 bdcdead
5 3 1 aabbaa
5 3 1 aabbbaa
4 3 3 aabbaac
4 3 3 aabbaa
4 3 3 aabbaacc
4 3 3 aabbaaaacc
10 3 1 zzzzzpppppppwwwwwwqqqqqq
10 3 1 zzzzzdddddddpppppppaaaaawwwwbbbbbbbwwqqqqqq
26 3 1 aaabchdj
26 3 1 jsdoqwdjaaa
26 3 1 aabbbbbbzzzzzzzzzzzzzzzzaaaaaaaaaaaaaaaaaa
26 10 1 aaaaaaaaaa
26 10 26 abcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxy
1 5 1 aaaa
1 5 1 aaaaa
1 5 1 aaaaaa
2 5 2 aaaabbbbaaaabababababababababababababbbaaabaabbaa
2 5 2 aaaabbbbaaaabababababababababababababbbabbbbbaabaabbaa
26 3 1 zzzzzpppppppwwwwwwqqqqqq
26 10 1 aaaaaaaaaaa
2 5 2 aaaabbbbaaaababababababbbbbbabababababababbbabbbbbbaabaabbaa
6 2 3 bdcdeadfffaaabbbbbbabfeabcdefffedcba
